id,name,popularity,followers,genres,user,detected category
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,62,233670,"classical, requiem",I,Classical
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,63,531871,"midwest, midwest emo",I,Alternative/Indie; Rock/Metal
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,85,20536143,alt,I,Alternative/Indie
2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,68,4462564,"bedroom pop, indie",I,Alternative/Indie; Pop
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,87,10533853,melodic rap,M,Hip Hop/Rap
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,81,8401950,"canadian hip hop, r&b, rap",M,Hip Hop/Rap; R&B
2n6FviARgtjjimZXu18uRM,Le Tigre,62,551857,"electroclash, indie, queercore, riot grrrl",I,Alternative/Indie; Electronic
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,81,8025300,"big room, edm, trance",M,Electronic
2p1fiYHYiXz9qi0JJyxBzN,Skepta,77,1647948,"grime, uk grime",M,Hip Hop/Rap
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,78,5789529,rock,C,Rock/Metal
2qvGuhgaubJ02pfiKcJAdR,Juliana Chahayed,48,127394,"edm, lo-fi indie",I,Alternative/Indie; Electronic
2sSGPbdZJkaSE2AbcGOACx,The Marías,84,3958513,"bedroom pop, pop",I,Pop
2uYWxilOVlUdk4oV9DvwqK,Mitski,80,11137515,alt,I,Alternative/Indie
2xvtxDNInKDV4AvGmjw6d1,Bladee,69,636868,"cloud rap, hyperpop",I,Electronic; Hip Hop/Rap; Pop
2yEwvVSSSUkcLeSTNyHKh8,TOOL,73,4566599,"alternative metal, metal, progressive metal, progressive rock",C,Alternative/Indie; Rock/Metal
30F64wQIHvLiFTGaNZ73nU,Sewerslvt,55,414528,"breakcore, hyperpop, jungle, speedcore",C,Electronic; Pop
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,79,9031342,melodic rap,M,Hip Hop/Rap
34vLhockmYhf3LgznwyNaQ,POLIÇA,44,181741,"alternative, indie",C,Alternative/Indie
36ufPZjygPOubok9wycfl9,Död Mark,36,47807,indie,I,Alternative/Indie
38u18VoGaIwVeSyVoA0eU5,Hope Sandoval & The Warm Inventions,49,195153,"art pop, dream pop, slowcore",C,Pop
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,69,2399446,"alternative hip hop, experimental hip hop, hiphop",I,Hip Hop/Rap
3B9O5mYYw89fFXkwKh7jCS,TK from Ling tosite sigure,59,527495,"anime, j-pop, j-rock",I,Other; Pop
3D21btY4uY8j3LYwAR7zwz,Georgian Folk,52,24770,"folk, georgian folk",M,Folk
3DmG65yHQsMms7WAvrZOdt,Enigma,65,1108271,"gregorian chant, new age",C,Other
3GSt4ZSP1wEtdbcTTbwjpW,Foxes In Fiction,32,30077,"dream pop, shoegaze",C,Pop; Rock/Metal
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,73,3366415,"southern hip hop, trap",M,Hip Hop/Rap
3IaqcRr2teHDEqhRE5emu9,empire! empire! (i was a lonely estate),34,53051,"emo, math rock, midwest emo, screamo",C,Alternative/Indie; Rock/Metal
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,71,3995925,"classic rock, progressive rock",C,Rock/Metal
3MZsBdqDrRTJihTHQrO6Dq,Joji,83,10774412,alt,I,Alternative/Indie
3OsRAKCvk37zwYcnzRf5XF,Moby,70,2083749,"downtempo, trip hop",M,Electronic
3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,72,1169316,post-punk,C,Rock/Metal
3SoOohS0zlj8nLdGmhrKA7,Olivver the Kid,39,47368,"melodic bass, pop",I,Electronic; Pop
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,81,8103232,"indie, lo-fi indie",I,Alternative/Indie
3TVXtAsR1Inumwj472S9r4,Drake,97,104131521,rap,M,Hip Hop/Rap
3TdVTSmMfLh55VrJDUpIQ2,Tamaryn,46,68110,"dream pop, shoegaze",C,Pop; Rock/Metal
3WaJSfKnzc65VDgmj2zU8B,Interpol,64,1834203,"indie rock, post-punk",C,Alternative/Indie; Rock/Metal
3YvQkjWJ5ykJVUNP7YbTy9,From Indian Lakes,39,85861,pop,C,Pop
